field        ra       dec   eclip_l   eclip_b   galac_l   galac_b
00000 testfield testfield testfield testfield testfield testfield
00001  25.71428 -89.21307 271.79217 -66.89109 302.73384 -27.89532
00002  77.14285 -89.21307 270.43947 -67.32636 302.13286 -27.46745
00003 128.57143 -89.21307 268.72072 -67.16991 302.13770 -26.78461
00004 179.99998 -89.21307 268.00813 -66.54712 302.73647 -26.36092
00005 231.42856 -89.21307 268.78254 -65.93969 303.48019 -26.51192
00006 282.85715 -89.21307 270.41313 -65.79201 303.81611 -27.12545
00007 334.28571 -89.21307 271.74360 -66.20851 303.48631 -27.74239
00008   0.00000 -87.63922 275.90272 -66.44839 303.53502 -29.42853
00009  27.69231 -87.63922 275.46927 -67.56528 302.23835 -29.40865
00010  55.38462 -87.63922 273.63910 -68.46352 301.11023 -28.85631
00011  83.07693 -87.63922 270.77448 -68.90157 300.41809 -27.90484
00012 110.76923 -87.63922 267.67442 -68.75133 300.31252 -26.77910
00013 138.46155 -87.63922 265.25181 -68.05754 300.80113 -25.73790
00014 166.15385 -87.63922 264.10648 -67.01608 301.76141 -25.01448
00015 193.84616 -87.63922 264.36701 -65.89125 302.97668 -24.76782
00016 221.53847 -87.63922 265.81294 -64.93507 304.18226 -25.05158
00017 249.23077 -87.63922 268.05386 -64.33935 305.11524 -25.80401
00018 276.92310 -87.63922 270.64089 -64.21479 305.56418 -26.85957
00019 304.61539 -87.63922 273.11201 -64.58377 305.41487 -27.98141
00020 332.30771 -87.63922 275.00883 -65.37925 304.68505 -28.91109
00021   9.47368 -86.06537 279.91852 -66.89860 303.20297 -31.05575
00022  28.42105 -86.06537 279.32545 -68.17286 301.70247 -30.91326
00023  47.36842 -86.06537 277.53616 -69.29276 300.35006 -30.34679
00024  66.31579 -86.06537 274.62895 -70.10405 299.30311 -29.42422
00025  85.26316 -86.06537 270.95457 -70.47846 298.67356 -28.25333
00026 104.21053 -86.06537 267.11158 -70.35127 298.51763 -26.96648
00027 123.15790 -86.06537 263.76000 -69.74489 298.83610 -25.70409
00028 142.10526 -86.06537 261.38782 -68.76034 299.58135 -24.59954
00029 161.05263 -86.06537 260.20274 -67.54351 300.66718 -23.76651
00030 180.00000 -86.06537 260.17638 -66.24932 301.97926 -23.28913
00031 198.94737 -86.06537 261.14658 -65.01851 303.38562 -23.21509
00032 217.89473 -86.06537 262.89984 -63.96718 304.74714 -23.55175
00033 236.84210 -86.06537 265.21528 -63.18385 305.92810 -24.26556
00034 255.78947 -86.06537 267.88072 -62.72923 306.80665 -25.28478
00035 274.73685 -86.06537 270.69398 -62.63684 307.28534 -26.50529
00036 293.68423 -86.06537 273.45794 -62.91334 307.30157 -27.79946
00037 312.63159 -86.06537 275.97376 -63.53864 306.83781 -29.02775
00038 331.57895 -86.06537 278.03458 -64.46566 305.92998 -30.05308
00039 350.52634 -86.06537 279.42303 -65.61981 304.67067 -30.75697
00040   0.00000 -84.49152 283.61384 -65.95804 304.38332 -32.49106
00041  13.84615 -84.49152 283.94759 -67.27734 302.81946 -32.63587
00042  27.69231 -84.49152 283.44860 -68.58997 301.26329 -32.44324
00043  41.53846 -84.49152 282.00044 -69.81223 299.82050 -31.92644
00044  55.38462 -84.49152 279.55158 -70.85112 298.58527 -31.12055
00045  69.23077 -84.49152 276.17675 -71.61261 297.63216 -30.07886
00046  83.07693 -84.49152 272.12930 -72.01667 297.01160 -28.86797
00047  96.92308 -84.49152 267.83381 -72.01626 296.74909 -27.56237
00048 110.76923 -84.49152 263.78733 -71.61145 296.84698 -26.23931
00049 124.61539 -84.49152 260.41416 -70.84933 297.28766 -24.97433
00050 138.46155 -84.49152 257.96727 -69.81000 298.03698 -23.83745
00051 152.30769 -84.49152 256.52104 -68.58750 299.04756 -22.89010
00052 166.15385 -84.49152 256.02379 -67.27481 300.26166 -22.18255
00053 180.00000 -84.49152 256.35898 -65.95558 301.61389 -21.75189
00054 193.84616 -84.49152 257.38892 -64.70126 303.03380 -21.62055
00055 207.69231 -84.49152 258.97792 -63.57087 304.44850 -21.79534
00056 221.53847 -84.49152 261.00153 -62.61190 305.78526 -22.26718
00057 235.38463 -84.49152 263.34819 -61.86126 306.97419 -23.01150
00058 249.23077 -84.49152 265.91745 -61.34607 307.95085 -23.98922
00059 263.07693 -84.49152 268.61702 -61.08418 308.65881 -25.14834
00060 276.92310 -84.49152 271.35943 -61.08442 309.05238 -26.42604
00061 290.76923 -84.49152 274.05885 -61.34678 309.09955 -27.75131
00062 304.61539 -84.49152 276.62782 -61.86242 308.78535 -29.04812
00063 318.46155 -84.49152 278.97401 -62.61348 308.11527 -30.23932
00064 332.30771 -84.49152 280.99696 -63.57282 307.11829 -31.25122
00065 346.15387 -84.49152 282.58506 -64.70351 305.84840 -32.01880
00066   5.62500 -82.91766 287.72128 -66.24746 304.00696 -34.15009
00067  16.87500 -82.91766 288.04170 -67.62666 302.33385 -34.19193
00068  28.12500 -82.91766 287.64999 -69.00397 300.68932 -33.94277
00069  39.37500 -82.91766 286.42387 -70.32174 299.15086 -33.41464
00070  50.62500 -82.91766 284.26228 -71.51296 297.78765 -32.63260
00071  61.87500 -82.91766 281.12727 -72.50348 296.65606 -31.63275
00072  73.12500 -82.91766 277.10093 -73.21844 295.79718 -30.45952
00073  84.37500 -82.91766 272.43216 -73.59431 295.23636 -29.16293
00074  95.62500 -82.91766 267.52753 -73.59384 294.98428 -27.79589
00075 106.87500 -82.91766 262.85991 -73.21708 295.03871 -26.41186
00076 118.12500 -82.91766 258.83555 -72.50137 295.38669 -25.06291
00077 129.37500 -82.91766 255.70290 -71.51030 296.00640 -23.79817
00078 140.62500 -82.91766 253.54367 -70.31870 296.86885 -22.66246
00079 151.87500 -82.91766 252.31971 -69.00074 297.93922 -21.69524
00080 163.12500 -82.91766 251.92984 -67.62339 299.17796 -20.92963
00081 174.37500 -82.91766 252.25178 -66.24429 300.54177 -20.39157
00082 185.62500 -82.91766 253.16526 -64.91189 301.98458 -20.09920
00083 196.87500 -82.91766 254.56190 -63.66653 303.45858 -20.06234
00084 208.12500 -82.91766 256.34768 -62.54157 304.91525 -20.28223
00085 219.37500 -82.91766 258.44188 -61.56437 306.30647 -20.75149
00086 230.62500 -82.91766 260.77484 -60.75699 307.58555 -21.45431
00087 241.87500 -82.91766 263.28545 -60.13669 308.70832 -22.36693
00088 253.12500 -82.91766 265.91881 -59.71623 309.63404 -23.45819
00089 264.37500 -82.91766 268.62421 -59.50401 310.32645 -24.69038
00090 275.62500 -82.91766 271.35334 -59.50425 310.75474 -26.02008
00091 286.87500 -82.91766 274.05865 -59.71692 310.89492 -27.39929
00092 298.12500 -82.91766 276.69182 -60.13785 310.73127 -28.77663
00093 309.37500 -82.91766 279.20213 -60.75858 310.25831 -30.09884
00094 320.62500 -82.91766 281.53467 -61.56637 309.48279 -31.31265
00095 331.87500 -82.91766 283.62830 -62.54396 308.42573 -32.36695
