ID,File name,Field ID,Filter,Observation Date,Exposure time [s],# trans,# objects,TQC flag
69217,ML1_20210914_191329_red,16100,u,2021-09-14 19:13:29.365000,60.0,150,24138,orange
69222,ML1_20210914_191201_red,16100,q,2021-09-14 19:12:01.748000,60.0,8048,117145,orange
69223,ML1_20210914_191033_red,16100,i,2021-09-14 19:10:33.465000,60.0,12094,97389,orange
69211,ML1_20210914_190904_red,16100,u,2021-09-14 19:09:04.926000,60.0,68,23701,orange
69221,ML1_20210914_190737_red,16100,q,2021-09-14 19:07:37.336000,60.0,6913,101063,orange
69218,ML1_20210914_190609_red,16100,i,2021-09-14 19:06:09.645000,60.0,4252,139066,yellow
69206,ML1_20210914_190441_red,16100,u,2021-09-14 19:04:41.317000,60.0,61,28847,yellow
69219,ML1_20210914_190314_red,16100,q,2021-09-14 19:03:14.316000,60.0,6595,170803,yellow
69216,ML1_20210914_190146_red,16100,i,2021-09-14 19:01:46.517000,60.0,3165,160515,yellow
69204,ML1_20210914_190018_red,16100,u,2021-09-14 19:00:18.787000,60.0,67,26114,yellow
69220,ML1_20210914_185850_red,16100,q,2021-09-14 18:58:50.768000,60.0,9501,170356,yellow
69213,ML1_20210914_185723_red,16100,i,2021-09-14 18:57:23.122000,60.0,5408,149711,yellow
69203,ML1_20210914_185553_red,16100,u,2021-09-14 18:55:53.913000,60.0,57,24839,yellow
69214,ML1_20210914_185425_red,16100,q,2021-09-14 18:54:25.348000,60.0,5535,149590,orange
69210,ML1_20210914_185257_red,16100,i,2021-09-14 18:52:57.149000,60.0,3657,147327,yellow
69200,ML1_20210914_185128_red,16100,u,2021-09-14 18:51:28.760000,60.0,70,22582,orange
69212,ML1_20210914_185001_red,16100,q,2021-09-14 18:50:01.058000,60.0,5254,147407,orange
69207,ML1_20210914_184833_red,16100,i,2021-09-14 18:48:33.259000,60.0,4228,135044,yellow
69199,ML1_20210914_184703_red,16100,u,2021-09-14 18:47:03.800000,60.0,1449,29788,yellow
69215,ML1_20210914_184535_red,16100,q,2021-09-14 18:45:35.555000,60.0,15173,181028,orange
69209,ML1_20210914_184408_red,16100,i,2021-09-14 18:44:08.151000,60.0,9853,149471,yellow
69194,ML1_20210914_184239_red,16100,u,2021-09-14 18:42:39.960000,60.0,848,30462,yellow
69208,ML1_20210914_184111_red,16100,q,2021-09-14 18:41:11.711000,60.0,10967,165682,yellow
69202,ML1_20210914_183943_red,16100,i,2021-09-14 18:39:43.557000,60.0,4597,177758,yellow
69190,ML1_20210914_183815_red,16100,u,2021-09-14 18:38:15.501000,60.0,226,32258,yellow
69205,ML1_20210914_183646_red,16100,q,2021-09-14 18:36:46.561000,60.0,8689,179731,yellow
69196,ML1_20210914_183518_red,16100,i,2021-09-14 18:35:18.767000,60.0,2223,175813,yellow
69187,ML1_20210914_183350_red,16100,u,2021-09-14 18:33:50.167000,60.0,67,32256,yellow
69201,ML1_20210914_183224_red,16100,q,2021-09-14 18:32:24.604000,60.0,6259,169921,yellow
69195,ML1_20210914_183056_red,16100,i,2021-09-14 18:30:56.852000,60.0,3196,170222,yellow
69185,ML1_20210914_182927_red,16100,u,2021-09-14 18:29:27.504000,60.0,53,33384,yellow
69197,ML1_20210914_182759_red,16100,q,2021-09-14 18:27:59.410000,60.0,6883,183182,yellow
69191,ML1_20210914_182631_red,16100,i,2021-09-14 18:26:31.473000,60.0,2588,154558,yellow
69183,ML1_20210914_182502_red,16100,u,2021-09-14 18:25:02.374000,60.0,56,29290,yellow
69198,ML1_20210914_182337_red,16100,q,2021-09-14 18:23:37.371000,60.0,8507,173798,yellow
69189,ML1_20210914_182207_red,16100,i,2021-09-14 18:22:07.895000,60.0,3596,155206,yellow
69179,ML1_20210914_182038_red,16100,u,2021-09-14 18:20:38.351000,60.0,68,30263,yellow
69192,ML1_20210914_181910_red,16100,q,2021-09-14 18:19:10.505000,60.0,6883,161656,yellow
69186,ML1_20210914_181742_red,16100,i,2021-09-14 18:17:42.255000,60.0,3383,150180,yellow
69175,ML1_20210914_181613_red,16100,u,2021-09-14 18:16:13.490000,60.0,66,27806,yellow
69193,ML1_20210914_181445_red,16100,q,2021-09-14 18:14:45.236000,60.0,12235,170549,yellow
69182,ML1_20210914_181316_red,16100,i,2021-09-14 18:13:16.940000,60.0,2670,167100,yellow
69172,ML1_20210914_181148_red,16100,u,2021-09-14 18:11:48.746000,60.0,69,36646,yellow
69188,ML1_20210914_181020_red,16100,q,2021-09-14 18:10:20.816000,60.0,6997,188721,yellow
69180,ML1_20210914_180852_red,16100,i,2021-09-14 18:08:52.948000,60.0,1815,186842,yellow
69170,ML1_20210914_180723_red,16100,u,2021-09-14 18:07:23.846000,60.0,67,37859,yellow
69184,ML1_20210914_180556_red,16100,q,2021-09-14 18:05:56.208000,60.0,6136,207881,yellow
69177,ML1_20210914_180427_red,16100,i,2021-09-14 18:04:27.338000,60.0,1522,172999,yellow
69168,ML1_20210914_180258_red,16100,u,2021-09-14 18:02:58.979000,60.0,65,37842,yellow
69181,ML1_20210914_180131_red,16100,q,2021-09-14 18:01:31.429000,60.0,5828,204611,yellow
69173,ML1_20210914_180003_red,16100,i,2021-09-14 18:00:03.618000,60.0,656,199587,yellow
69167,ML1_20210914_175835_red,16100,u,2021-09-14 17:58:35.859000,60.0,63,33248,yellow
69178,ML1_20210914_175707_red,16100,q,2021-09-14 17:57:07.480000,60.0,5867,204972,yellow
69171,ML1_20210914_175538_red,16100,i,2021-09-14 17:55:38.610000,60.0,864,200509,yellow
69166,ML1_20210914_175411_red,16100,u,2021-09-14 17:54:11.051000,60.0,73,39334,yellow
69174,ML1_20210914_175242_red,16100,q,2021-09-14 17:52:42.781000,60.0,3001,171697,yellow
69169,ML1_20210914_175114_red,16100,i,2021-09-14 17:51:14.935000,60.0,966,189467,yellow
69164,ML1_20210914_174946_red,16100,u,2021-09-14 17:49:46.721000,60.0,49,37039,yellow
69176,ML1_20210914_174822_red,16100,q,2021-09-14 17:48:22.625000,60.0,8417,195928,yellow
69165,ML1_20210914_174600_red,16133,i,2021-09-14 17:46:00.677000,60.0,2467,17884,red
69162,ML1_20210914_174432_red,16133,u,2021-09-14 17:44:32.752000,60.0,397,7243,red
69163,ML1_20210914_174305_red,16133,q,2021-09-14 17:43:05.054000,60.0,3016,22907,red
69161,ML1_20210914_174136_red,16133,i,2021-09-14 17:41:36.322000,60.0,1920,19732,red
69158,ML1_20210914_174007_red,16133,u,2021-09-14 17:40:07.633000,60.0,303,6742,orange
69160,ML1_20210914_173839_red,16133,q,2021-09-14 17:38:39.954000,60.0,2087,22461,orange
69159,ML1_20210914_173711_red,16133,i,2021-09-14 17:37:11.743000,60.0,1301,19429,orange
69156,ML1_20210914_173543_red,16133,u,2021-09-14 17:35:43.204000,60.0,237,6909,orange
69157,ML1_20210914_173414_red,16133,q,2021-09-14 17:34:14.934000,60.0,1300,20004,orange
69155,ML1_20210914_173246_red,16133,i,2021-09-14 17:32:46.155000,60.0,621,20154,yellow
69153,ML1_20210914_173117_red,16133,u,2021-09-14 17:31:17.493000,60.0,114,6615,yellow
69154,ML1_20210914_172950_red,16133,q,2021-09-14 17:29:50.504000,60.0,639,21707,orange
69152,ML1_20210914_172810_red,16103,u,2021-09-14 17:28:10.711000,60.0,47,4406,orange
69151,ML1_20210914_172642_red,16103,q,2021-09-14 17:26:42.395000,60.0,252,15161,orange
69150,ML1_20210914_172515_red,16103,i,2021-09-14 17:25:15.701000,60.0,161,10043,orange
69147,ML1_20210914_172347_red,16103,u,2021-09-14 17:23:47.998000,60.0,76,4180,orange
69149,ML1_20210914_172223_red,16103,q,2021-09-14 17:22:23.186000,60.0,189,12648,orange
69148,ML1_20210914_172057_red,16103,i,2021-09-14 17:20:57.336000,60.0,161,8782,orange
69146,ML1_20210914_171928_red,16103,u,2021-09-14 17:19:28.641000,60.0,55,3799,orange
69145,ML1_20210914_171804_red,16103,q,2021-09-14 17:18:04.427000,60.0,212,11420,orange
69144,ML1_20210914_171315_red,16102,q,2021-09-14 17:13:15.708000,60.0,,2227,red
69143,ML1_20210912_033408_red,01206,q,2021-09-12 03:34:08.441000,60.0,,20230,red
69142,ML1_20210912_033247_red,01206,q,2021-09-12 03:32:47.631000,60.0,,18520,red
69141,ML1_20210912_033128_red,01206,q,2021-09-12 03:31:28.682000,60.0,,20116,red
69140,ML1_20210912_023825_red,06653,q,2021-09-12 02:38:25.761000,60.0,,14362,red
69139,ML1_20210912_022555_red,06651,q,2021-09-12 02:25:55.293000,60.0,,10763,red
69138,ML1_20210912_021221_red,06869,q,2021-09-12 02:12:21.718000,60.0,,10386,red
