# FieldId Time[UTC] deltaT[sec] RA Dec
15887 2021-09-01T00:09:43.016 224.579 167.02704 61.87680
15771 2021-09-01T00:13:27.595 529.384 160.00000 60.30293
15391 2021-09-01T00:22:16.979 166.951 145.90909 55.58138
15255 2021-09-01T00:25:03.930 256.33 141.89781 54.00752
14968 2021-09-01T00:29:20.260 156.491 137.14285 50.85982
14816 2021-09-01T00:31:56.751 92.514 133.81578 49.28596
14661 2021-09-01T00:33:29.265 130.027 132.99362 47.71211
14500 2021-09-01T00:35:39.292 471.306 130.80745 46.13826
13815 2021-09-01T00:43:30.598 123.926 124.38203 39.84285
13634 2021-09-01T00:45:34.524 122.666 122.63736 38.26900
13448 2021-09-01T00:47:37.190 104.948 120.96774 36.69514
13260 2021-09-01T00:49:22.138 120.932 120.00000 35.12129
13067 2021-09-01T00:51:23.070 104.211 118.44559 33.54744
12872 2021-09-01T00:53:07.281 103.984 117.55102 31.97359
12673 2021-09-01T00:54:51.265 103.744 116.68342 30.39973
12472 2021-09-01T00:56:35.009 443.088 115.84158 28.82588
11636 2021-09-01T01:03:58.097 2952.214 111.54929 22.53047
05346 2021-09-01T01:53:10.311 211.671 89.15888 -21.53741
04922 2021-09-01T01:56:41.982 117.882 87.42857 -24.68511
04713 2021-09-01T01:58:39.864 310.111 86.08696 -26.25896
04107 2021-09-01T02:03:49.975 119.912 83.63637 -30.98052
03910 2021-09-01T02:05:49.887 120.664 82.15385 -32.55437
03717 2021-09-01T02:07:50.551 110.297 80.62500 -34.12823
03527 2021-09-01T02:09:40.848 78.678 79.46808 -35.70208
16082 2021-09-01T02:10:59.526 32.296 79.16167 -37.10253
03342 2021-09-01T02:11:31.822 235.321 78.26087 -37.27593
02981 2021-09-01T02:15:27.143 113.13 75.25424 -40.42364
02806 2021-09-01T02:17:20.273 102.523 73.87283 -41.99749
02637 2021-09-01T02:19:02.796 114.564 72.85714 -43.57134
02471 2021-09-01T02:20:57.360 115.297 71.34147 -45.14520
02310 2021-09-01T02:22:52.657 272.243 69.75000 -46.71905
02001 2021-09-01T02:27:24.900 118.897 64.80000 -49.86675
01853 2021-09-01T02:29:23.797 286.243 62.87671 -51.44061
01572 2021-09-01T02:34:10.040 287.719 56.91176 -54.58831
01313 2021-09-01T02:38:57.759 193.335 50.40000 -57.73602
01191 2021-09-01T02:42:11.094 199.388 45.00000 -59.30987
01073 2021-09-01T02:45:30.482 196.87 39.13043 -60.88372
00962 2021-09-01T02:48:47.352 86.778 33.02752 -62.45758
00961 2021-09-01T02:50:14.130 297.27 29.72477 -62.45758
00854 2021-09-01T02:55:11.400 91.307 19.22330 -64.03143
00853 2021-09-01T02:56:42.707 91.732 15.72816 -64.03143
00852 2021-09-01T02:58:14.439 91.878 12.23301 -64.03143
00851 2021-09-01T02:59:46.317 91.746 8.73786 -64.03143
00850 2021-09-01T03:01:18.063 91.337 5.24272 -64.03143
00849 2021-09-01T03:02:49.400 327.722 1.74757 -64.03143
01058 2021-09-01T03:08:17.122 86.32 350.09174 -62.45758
01057 2021-09-01T03:09:43.442 224.057 346.78900 -62.45758
01169 2021-09-01T03:13:27.499 141.411 339.65216 -60.88372
01288 2021-09-01T03:15:48.910 215.273 336.00000 -59.30987
01410 2021-09-01T03:19:24.183 135.124 329.76001 -57.73602
01539 2021-09-01T03:21:39.307 1271.121 326.76923 -56.16217
03094 2021-09-01T03:42:50.428 4705.354 305.08475 -40.42364
12556 2021-09-01T05:01:15.782 334.704 265.54456 28.82588
13144 2021-09-01T05:06:50.486 109.585 262.07254 33.54744
13334 2021-09-01T05:08:40.071 96.319 260.95239 35.12129
13520 2021-09-01T05:10:16.390 110.454 260.32257 36.69514
13703 2021-09-01T05:12:06.844 579.538 259.12088 38.26900
14554 2021-09-01T05:21:46.382 249.909 251.55280 46.13826
14864 2021-09-01T05:25:56.291 137.312 247.50000 49.28596
15012 2021-09-01T05:28:13.603 140.06 244.89796 50.85982
15154 2021-09-01T05:30:33.663 142.95 242.11269 52.43367
15292 2021-09-01T05:32:56.613 145.957 239.12410 54.00752
15424 2021-09-01T05:35:22.570 149.042 235.90909 55.58138
15552 2021-09-01T05:37:51.612 152.155 232.44095 57.15523
15674 2021-09-01T05:40:23.767 155.209 228.68852 58.72908
15792 2021-09-01T05:42:58.976 190.218 224.61539 60.30293
15903 2021-09-01T05:46:09.194 1512.96 218.91893 61.87680
15886 2021-09-01T06:11:22.154 220.139 163.78378 61.87680
15770 2021-09-01T06:15:02.293 178.002 156.92308 60.30293
15648 2021-09-01T06:18:00.295 173.097 151.96721 58.72908
15522 2021-09-01T06:20:53.392 264.686 147.40158 57.15523
15255 2021-09-01T06:25:18.078 256.567 141.89781 54.00752
14968 2021-09-01T06:29:34.645 155.943 137.14285 50.85982
14816 2021-09-01T06:32:10.588 93.175 133.81578 49.28596
14661 2021-09-01T06:33:43.763 129.875 132.99362 47.71211
14500 2021-09-01T06:35:53.638 346.303 130.80745 46.13826
13993 2021-09-01T06:41:39.941 124.991 126.20689 41.41670
13815 2021-09-01T06:43:44.932 123.671 124.38203 39.84285
13634 2021-09-01T06:45:48.603 227.528 122.63736 38.26900
