# FieldId Time[UTC] deltaT[sec] RA Dec
09501 2021-10-01T00:06:05.144 319.437 246.31580 6.79195
10181 2021-10-01T00:11:24.581 429.942 248.80000 11.51350
11072 2021-10-01T00:18:34.523 301.027 252.32877 17.80891
13949 2021-10-01T00:23:35.550 25.681 35.17241 41.41670
11721 2021-10-01T00:24:01.231 326.997 255.21127 22.53047
13406 2021-10-01T00:29:28.228 356.993 39.67742 36.69514
12832 2021-10-01T00:35:25.221 222.115 44.08163 31.97359
12433 2021-10-01T00:39:07.336 217.57 46.33663 28.82588
13707 2021-10-01T00:42:44.906 2.807 267.03296 38.26900
12022 2021-10-01T00:42:47.713 99.438 48.46154 25.67818
13886 2021-10-01T00:44:27.151 125.689 267.97751 39.84285
11600 2021-10-01T00:46:32.840 92.193 50.70422 22.53047
11385 2021-10-01T00:48:05.033 45.698 51.06976 20.95662
14234 2021-10-01T00:48:50.731 104.151 272.11768 42.99055
14402 2021-10-01T00:50:34.882 80.153 273.25302 44.56441
10951 2021-10-01T00:51:55.035 91.98 53.42466 17.80891
10731 2021-10-01T00:53:27.015 85.106 53.75566 16.23506
14724 2021-10-01T00:54:52.121 248.564 277.45221 47.71211
10061 2021-10-01T00:59:00.685 0.863 56.80000 11.51350
15027 2021-10-01T00:59:01.548 97.691 281.63266 50.85982
09836 2021-10-01T01:00:39.239 1488.885 57.34513 9.93965
06651 2021-10-01T01:25:28.124 122.584 68.80000 -12.09428
06428 2021-10-01T01:27:30.708 192.659 70.22421 -13.66814
05986 2021-10-01T01:30:43.367 114.381 71.18182 -16.81585
05768 2021-10-01T01:32:37.748 123.781 72.32877 -18.38970
05551 2021-10-01T01:34:41.529 87.719 73.82488 -19.96355
05337 2021-10-01T01:36:09.248 124.614 74.01869 -21.53741
05125 2021-10-01T01:38:13.862 213.385 75.56604 -23.11126
04708 2021-10-01T01:41:47.247 225.164 77.39130 -26.25896
04303 2021-10-01T01:45:32.411 227.173 79.70149 -29.40667
03910 2021-10-01T01:49:19.584 88.622 82.15385 -32.55437
03718 2021-10-01T01:50:48.206 254.579 82.50000 -34.12823
03346 2021-10-01T01:55:02.785 88.84 86.08696 -37.27593
03164 2021-10-01T01:56:31.625 379.258 86.51934 -38.84978
02646 2021-10-01T02:02:50.883 104.245 92.14285 -43.57134
02481 2021-10-01T02:04:35.128 471.735 93.29269 -45.14520
13772 2021-10-01T02:12:26.863 50.137 37.41573 39.84285
01869 2021-10-01T02:13:17.000 304.617 102.32877 -51.44061
