FieldId date-obs deltaT[sec] RA Dec
15887 59458.00674787037 224.579 167.02704 61.8768
15771 59458.00934716435 529.384 160.0 60.30293
15391 59458.015474293985 166.951 145.90909 55.58138
15255 59458.017406597224 256.33 141.89781 54.00752
14968 59458.02037337963 156.491 137.14285 50.85982
14816 59458.02218461806 92.514 133.81578 49.28596
14661 59458.023255381944 130.027 132.99362 47.71211
14500 59458.02476032407 471.306 130.80745 46.13826
13815 59458.03021525463 123.926 124.38203 39.84285
13634 59458.03164958333 122.666 122.63736 38.269
13448 59458.0330693287 104.948 120.96774 36.69514
13260 59458.03428400463 36.298 120.0 35.12129
12754 59458.03470412037 84.634 263.21606 30.39973
13067 59458.03568368056 11.349 118.44559 33.54744
12951 59458.035815034724 92.862 262.65305 31.97359
12872 59458.03688982639 103.984 117.55102 31.97359
12673 59458.038093344905 103.744 116.68342 30.39973
12472 59458.03929408565 51.876 115.84158 28.82588
13519 59458.03989450231 111.508 258.38708 36.69514
13702 59458.041185104164 112.209 257.14285 38.269
13880 59458.042483819445 112.924 255.8427 39.84285
14055 59458.04379081019 54.571 254.48274 41.4167
11636 59458.044422418985 59.074 111.54929 22.53047
14225 59458.04510614583 114.376 253.05884 42.99055
14392 59458.04642994213 133.064 251.56627 44.56441
14553 59458.04797003472 116.486 249.31677 46.13826
14711 59458.04931825231 136.997 247.64331 47.71211
14863 59458.05090386574 883.037 245.13158 49.28596
15673 59458.06112420139 157.887 225.7377 58.72908
15791 59458.062951597225 194.148 221.53847 60.30293
15902 59458.06519868055 85.477 215.67567 61.8768
15901 59458.06618799768 1071.668 212.43243 61.8768
5346 59458.0785915625 186.976 89.15888 -21.53741
15887 59458.080755636576 24.695 167.02704 61.8768
4922 59458.08104145833 117.882 87.42857 -24.68511
4713 59458.08240583333 82.027 86.08696 -26.25896
15771 59458.08335521991 228.084 160.0 60.30293
4107 59458.08599508102 119.912 83.63637 -30.98052
3910 59458.08738295139 9.663 82.15385 -32.55437
15523 59458.08749479167 111.001 150.23622 57.15523
3717 59458.08877952546 110.297 80.625 -34.12823
3527 59458.09005611111 78.678 79.46808 -35.70208
16082 59458.09096673611 32.296 79.16167 -37.10253
3342 59458.09134053241 6.281 78.26087 -37.27593
15255 59458.091413229165 229.04 141.89781 54.00752
2981 59458.09406415509 27.368 75.25424 -40.42364
14968 59458.09438091435 85.762 137.14285 50.85982
2806 59458.095373530094 102.523 73.87283 -41.99749
2637 59458.09656013889 60.762 72.85714 -43.57134
14661 59458.09726340278 53.802 132.99362 47.71211
2471 59458.097886111114 76.184 71.34147 -45.1452
14500 59458.09876787037 39.113 130.80745 46.13826
2310 59458.09922056713 272.243 69.75 -46.71905
2001 59458.10237152778 34.796 64.8 -49.86675
13993 59458.102774259256 84.101 126.20689 41.4167
1853 59458.103747650464 41.064 62.87671 -51.44061
13815 59458.10422292824 123.855 124.38203 39.84285
13634 59458.10565643518 121.324 122.63736 38.269
1572 59458.10706064815 106.271 56.91176 -54.58831
13260 59458.10829063658 181.448 120.0 35.12129
1313 59458.11039072917 43.667 50.4 -57.73602
12872 59458.11089613426 104.031 117.55102 31.97359
12673 59458.11210019676 45.637 116.68342 30.39973
1191 59458.11262840278 58.152 45.0 -59.30987
12472 59458.11330145833 103.539 115.84158 28.82588
12267 59458.11449982639 37.697 115.02439 27.25203
1073 59458.11493613426 65.583 39.13043 -60.88372
12060 59458.11569519676 131.287 114.23077 25.67818
962 59458.117214722224 86.778 33.02752 -62.45758
961 59458.118219097225 106.827 29.72477 -62.45758
11421 59458.119455520835 190.443 111.34884 20.95662
854 59458.12165972222 91.307 19.2233 -64.03143
853 59458.122716516205 91.732 15.72816 -64.03143
852 59458.123778229165 91.878 12.23301 -64.03143
851 59458.12484163194 91.746 8.73786 -64.03143
850 59458.125903506945 91.337 5.24272 -64.03143
849 59458.12696064815 327.722 1.74757 -64.03143
1058 59458.13075372685 86.32 350.09174 -62.45758
1057 59458.131752800924 224.057 346.789 -62.45758
1169 59458.134346053244 141.411 339.65216 -60.88372
1288 59458.13598275463 215.273 336.0 -59.30987
1410 59458.13847434028 135.124 329.76001 -57.73602
1539 59458.140038275465 747.582 326.76923 -56.16217
5999 59458.14869084491 221.181 92.45454 -16.81585
5561 59458.15125081019 302.358 90.41475 -19.96355
3094 59458.15475032407 25.761 305.08475 -40.42364
4922 59458.15504848379 308.827 87.42857 -24.68511
4306 59458.15862287037 119.168 85.07463 -29.40667
4107 59458.16000212963 429.545 83.63637 -30.98052
16082 59458.16497371528 483.289 79.16167 -37.10253
2637 59458.17056733796 114.555 72.85714 -43.57134
2471 59458.17189320602 115.285 71.34147 -45.1452
2310 59458.17322752315 104.64 69.75 -46.71905
2153 59458.17443863426 394.876 68.51613 -48.2929
1711 59458.17900895833 278.595 61.2766 -53.01446
1441 59458.1822334375 187.017 55.38462 -56.16217
1313 59458.18439798611 115.325 50.4 -57.73602
1192 59458.1857327662 195.854 48.0 -59.30987
1074 59458.187999594906 278.395 42.26087 -60.88372
962 59458.19122175926 293.374 33.02752 -62.45758
855 59458.194617291665 90.674 22.71844 -64.03143
854 59458.19566675926 91.351 19.2233 -64.03143
853 59458.1967240625 275.359 15.72816 -64.03143
850 59458.19991108796 91.291 5.24272 -64.03143
849 59458.20096769676 90.584 1.74757 -64.03143
951 59458.20201612268 323.407 358.25241 -64.03143
1057 59458.20575925926 224.065 346.789 -62.45758
1169 59458.20835260417 74.117 339.65216 -60.88372
12556 59458.20921043982 282.569 265.54456 28.82588
1410 59458.21248091435 52.135 329.76001 -57.73602
13144 59458.2130843287 83.07 262.07254 33.54744
1539 59458.214045787034 26.515 326.76923 -56.16217
13334 59458.21435267361 96.319 260.95239 35.12129
13520 59458.21546747685 110.454 260.32257 36.69514
13703 59458.21674587963 216.66 259.12088 38.269
1956 59458.21925351852 362.878 316.8493 -51.44061
14554 59458.22345349537 249.909 251.5528 46.13826
14864 59458.22634596065 137.312 247.5 49.28596
15012 59458.227935219904 71.093 244.89796 50.85982
3094 59458.22875805556 68.967 305.08475 -40.42364
15154 59458.22955628472 142.95 242.11269 52.43367
15292 59458.231210798614 145.957 239.1241 54.00752
15424 59458.23290011574 149.042 235.90909 55.58138
15552 59458.23462513889 152.155 232.44095 57.15523
15674 59458.23638619213 155.209 228.68852 58.72908
15792 59458.23818259259 190.218 224.61539 60.30293
15903 59458.24038418981 1512.96 218.91893 61.8768
15886 59458.25789530093 220.139 163.78378 61.8768
15770 59458.26044320602 178.002 156.92308 60.30293
15648 59458.26250341435 173.097 151.96721 58.72908
15522 59458.264506851854 264.686 147.40158 57.15523
15255 59458.26757034722 256.567 141.89781 54.00752
14968 59458.27053987268 155.943 137.14285 50.85982
14816 59458.27234476852 93.175 133.81578 49.28596
14661 59458.27342318287 129.875 132.99362 47.71211
14500 59458.27492636574 346.303 130.80745 46.13826
13993 59458.27893450231 124.991 126.20689 41.4167
13815 59458.280381157405 123.671 124.38203 39.84285
13634 59458.281812534726 121.388 122.63736 38.269
12556 59458.283217488424 95.549 265.54456 28.82588
12755 59458.28432337963 10.591 265.02512 30.39973
13260 59458.28444596065 228.571 120.0 35.12129
13144 59458.28709145833 100.593 262.07254 33.54744
12673 59458.28825572917 8.993 116.68342 30.39973
13334 59458.28835981482 94.896 260.95239 35.12129
12472 59458.289458148145 1.407 115.84158 28.82588
13520 59458.28947443287 102.227 260.32257 36.69514
12267 59458.29065761574 8.223 115.02439 27.25203
13703 59458.290752789355 111.114 259.12088 38.269
13881 59458.292038831016 87.137 257.86517 39.84285
11849 59458.29304736111 137.127 113.45972 24.10432
14226 59458.29463447916 84.586 255.17648 42.99055
11421 59458.295613483795 159.565 111.34884 20.95662
14554 59458.29746030093 115.179 251.5528 46.13826
14712 59458.2987933912 134.739 249.93629 47.71211
14864 59458.30035287037 137.336 247.5 49.28596
15012 59458.30194240741 140.083 244.89796 50.85982
15154 59458.303563738424 590.105 242.11269 52.43367
15674 59458.310393657404 155.161 228.68852 58.72908
15792 59458.312189502314 190.192 224.61539 60.30293
15903 59458.31439079861 903.532 218.91893 61.8768
5999 59458.324848344906 421.301 92.45454 -16.81585
5133 59458.32972451389 188.164 89.15095 -23.11126
15886 59458.331902337966 12.55 163.78378 61.8768
4714 59458.332047592594 117.694 87.82609 -26.25896
4509 59458.33340979167 89.856 86.47059 -27.83282
15770 59458.33444979167 177.994 156.92308 60.30293
15648 59458.33650990741 41.884 151.96721 58.72908
3911 59458.33699467593 119.65 84.00001 -32.55437
3718 59458.33837951389 109.298 82.5 -34.12823
3528 59458.33964453704 0.499 81.38297 -35.70208
15391 59458.3396503125 109.439 145.90909 55.58138
3343 59458.340916967594 57.062 80.21739 -37.27593
15255 59458.34157740741 64.742 141.89781 54.00752
3160 59458.342326736114 111.316 78.56354 -38.84978
2982 59458.343615115744 80.564 77.28814 -40.42364
14968 59458.344547569446 31.424 137.14285 50.85982
2807 59458.34491127315 101.332 75.95375 -41.99749
2638 59458.346084097226 116.38 75.0 -43.57134
14661 59458.34743108796 129.822 132.99362 47.71211
14500 59458.348933657406 143.66 130.80745 46.13826
2153 59458.35059638889 105.271 68.51613 -48.2929
2002 59458.35181480324 97.42 67.2 -49.86675
13993 59458.352942349535 124.912 126.20689 41.4167
13815 59458.35438809028 176.385 124.38203 39.84285
1573 59458.356429583335 169.516 59.55882 -54.58831
1441 59458.358391574075 112.536 55.38462 -56.16217
1314 59458.359694074075 189.714 53.28 -57.73602
1192 59458.361889837965 195.902 48.0 -59.30987
