ID,File name,Field ID,Filter,Observation Date,Exposure time [s],# trans,# objects,TQC flag
82462,ML1_20211104_210637_red,16061,q,2021-11-04 21:06:37.553000,60.0,77,9984,yellow
82461,ML1_20211104_210507_red,16061,i,2021-11-04 21:05:07.502000,60.0,73,5707,orange
82460,ML1_20211104_210336_red,16061,u,2021-11-04 21:03:36.713000,60.0,22,3767,yellow
82459,ML1_20211104_210208_red,16061,q,2021-11-04 21:02:08.912000,60.0,88,10586,yellow
82458,ML1_20211104_210040_red,16061,i,2021-11-04 21:00:40.722000,60.0,108,6681,yellow
82457,ML1_20211104_205911_red,16061,u,2021-11-04 20:59:11.823000,60.0,20,3756,yellow
82456,ML1_20211104_205742_red,16061,q,2021-11-04 20:57:42.932000,60.0,95,9175,yellow
82455,ML1_20211104_205613_red,16061,i,2021-11-04 20:56:13.984000,60.0,80,7696,yellow
82454,ML1_20211104_205444_red,16061,u,2021-11-04 20:54:44.714000,60.0,20,3713,yellow
82453,ML1_20211104_205318_red,16061,q,2021-11-04 20:53:18.375000,60.0,130,9317,yellow
82452,ML1_20211104_205148_red,16061,i,2021-11-04 20:51:48.384000,60.0,101,6378,yellow
82451,ML1_20211104_205019_red,16061,u,2021-11-04 20:50:19.840000,60.0,29,3938,yellow
82450,ML1_20211104_204849_red,16061,q,2021-11-04 20:48:49.606000,60.0,109,9902,yellow
82449,ML1_20211104_204719_red,16061,i,2021-11-04 20:47:19.885000,60.0,91,7096,yellow
82448,ML1_20211104_204551_red,16061,u,2021-11-04 20:45:51.671000,60.0,24,3665,yellow
82447,ML1_20211104_204423_red,16061,q,2021-11-04 20:44:23.155000,60.0,106,12036,yellow
82446,ML1_20211104_204253_red,16061,i,2021-11-04 20:42:53.396000,60.0,108,6443,yellow
82445,ML1_20211104_204124_red,16061,u,2021-11-04 20:41:24.266000,60.0,21,3873,yellow
82444,ML1_20211104_203957_red,16061,q,2021-11-04 20:39:57.007000,60.0,129,9585,yellow
82443,ML1_20211104_203828_red,16061,i,2021-11-04 20:38:28.546000,60.0,86,6977,yellow
82442,ML1_20211104_203659_red,16061,u,2021-11-04 20:36:59.807000,60.0,28,3622,orange
82441,ML1_20211104_203530_red,16061,q,2021-11-04 20:35:30.317000,60.0,95,10641,yellow
82440,ML1_20211104_203400_red,16061,i,2021-11-04 20:34:00.987000,60.0,84,6948,yellow
82439,ML1_20211104_203232_red,16061,u,2021-11-04 20:32:32.168000,60.0,30,3785,yellow
82438,ML1_20211104_203109_red,16061,q,2021-11-04 20:31:09.128000,60.0,113,9500,yellow
82437,ML1_20211104_202655_red,16072,z,2021-11-04 20:26:55.819000,60.0,369,14780,yellow
82436,ML1_20211104_202527_red,16072,q,2021-11-04 20:25:27.043000,60.0,179,29045,yellow
82435,ML1_20211104_202356_red,16072,r,2021-11-04 20:23:56.999000,60.0,334,22757,yellow
82434,ML1_20211104_202230_red,16072,q,2021-11-04 20:22:30.539000,60.0,469,27902,yellow
82433,ML1_20211104_202101_red,16072,g,2021-11-04 20:21:01.580000,60.0,332,18744,yellow
82432,ML1_20211104_201932_red,16072,q,2021-11-04 20:19:32.761000,60.0,841,26416,yellow
82431,ML1_20211104_201802_red,16072,i,2021-11-04 20:18:02.831000,60.0,353,21480,yellow
82430,ML1_20211104_201633_red,16072,q,2021-11-04 20:16:33.580000,60.0,278,27268,yellow
