# FieldId Time[UTC] deltaT[sec] RA Dec
12754 2021-09-01T00:49:58.436 95.983 263.21606 30.39973
12951 2021-09-01T00:51:34.419 352.466 262.65305 31.97359
13519 2021-09-01T00:57:26.885 111.508 258.38708 36.69514
13702 2021-09-01T00:59:18.393 112.209 257.14285 38.26900
13880 2021-09-01T01:01:10.602 112.924 255.84270 39.84285
14055 2021-09-01T01:03:03.526 113.645 254.48274 41.41670
14225 2021-09-01T01:04:57.171 114.376 253.05884 42.99055
14392 2021-09-01T01:06:51.547 133.064 251.56627 44.56441
14553 2021-09-01T01:09:04.611 116.486 249.31677 46.13826
14711 2021-09-01T01:11:01.097 136.997 247.64331 47.71211
14863 2021-09-01T01:13:18.094 883.037 245.13158 49.28596
15673 2021-09-01T01:28:01.131 157.887 225.73770 58.72908
15791 2021-09-01T01:30:39.018 194.148 221.53847 60.30293
15902 2021-09-01T01:33:53.166 85.477 215.67567 61.87680
15901 2021-09-01T01:35:18.643 1258.644 212.43243 61.87680
15887 2021-09-01T01:56:17.287 224.604 167.02704 61.87680
15771 2021-09-01T02:00:01.891 357.659 160.00000 60.30293
15523 2021-09-01T02:05:59.550 338.553 150.23622 57.15523
15255 2021-09-01T02:11:38.103 256.408 141.89781 54.00752
14968 2021-09-01T02:15:54.511 249.047 137.14285 50.85982
14661 2021-09-01T02:20:03.558 129.986 132.99362 47.71211
14500 2021-09-01T02:22:13.544 346.152 130.80745 46.13826
13993 2021-09-01T02:27:59.696 125.165 126.20689 41.41670
13815 2021-09-01T02:30:04.861 123.855 124.38203 39.84285
13634 2021-09-01T02:32:08.716 227.595 122.63736 38.26900
13260 2021-09-01T02:35:56.311 225.115 120.00000 35.12129
12872 2021-09-01T02:39:41.426 104.031 117.55102 31.97359
12673 2021-09-01T02:41:25.457 103.789 116.68342 30.39973
12472 2021-09-01T02:43:09.246 103.539 115.84158 28.82588
12267 2021-09-01T02:44:52.785 103.28 115.02439 27.25203
12060 2021-09-01T02:46:36.065 324.892 114.23077 25.67818
11421 2021-09-01T02:52:00.957 2525.932 111.34884 20.95662
05999 2021-09-01T03:34:06.889 221.181 92.45454 -16.81585
05561 2021-09-01T03:37:48.070 328.119 90.41475 -19.96355
04922 2021-09-01T03:43:16.189 308.827 87.42857 -24.68511
04306 2021-09-01T03:48:25.016 119.168 85.07463 -29.40667
04107 2021-09-01T03:50:24.184 429.545 83.63637 -30.98052
16082 2021-09-01T03:57:33.729 483.289 79.16167 -37.10253
02637 2021-09-01T04:05:37.018 114.555 72.85714 -43.57134
02471 2021-09-01T04:07:31.573 115.285 71.34147 -45.14520
02310 2021-09-01T04:09:26.858 104.64 69.75000 -46.71905
02153 2021-09-01T04:11:11.498 394.876 68.51613 -48.29290
01711 2021-09-01T04:17:46.374 278.595 61.27660 -53.01446
01441 2021-09-01T04:22:24.969 187.017 55.38462 -56.16217
01313 2021-09-01T04:25:31.986 115.325 50.40000 -57.73602
01192 2021-09-01T04:27:27.311 195.854 48.00000 -59.30987
01074 2021-09-01T04:30:43.165 278.395 42.26087 -60.88372
00962 2021-09-01T04:35:21.560 293.374 33.02752 -62.45758
00855 2021-09-01T04:40:14.934 90.674 22.71844 -64.03143
00854 2021-09-01T04:41:45.608 91.351 19.22330 -64.03143
00853 2021-09-01T04:43:16.959 275.359 15.72816 -64.03143
00850 2021-09-01T04:47:52.318 91.291 5.24272 -64.03143
00849 2021-09-01T04:49:23.609 90.584 1.74757 -64.03143
00951 2021-09-01T04:50:54.193 323.407 358.25241 -64.03143
01057 2021-09-01T04:56:17.600 224.065 346.78900 -62.45758
01169 2021-09-01T05:00:01.665 356.686 339.65216 -60.88372
01410 2021-09-01T05:05:58.351 135.205 329.76001 -57.73602
01539 2021-09-01T05:08:13.556 449.948 326.76923 -56.16217
01956 2021-09-01T05:15:43.504 821.192 316.84930 -51.44061
03094 2021-09-01T05:29:24.696 4705.295 305.08475 -40.42364
12556 2021-09-01T06:47:49.991 95.549 265.54456 28.82588
12755 2021-09-01T06:49:25.540 239.162 265.02512 30.39973
13144 2021-09-01T06:53:24.702 109.586 262.07254 33.54744
13334 2021-09-01T06:55:14.288 96.303 260.95239 35.12129
13520 2021-09-01T06:56:50.591 110.45 260.32257 36.69514
13703 2021-09-01T06:58:41.041 111.114 259.12088 38.26900
13881 2021-09-01T07:00:32.155 224.264 257.86517 39.84285
14226 2021-09-01T07:04:16.419 244.151 255.17648 42.99055
14554 2021-09-01T07:08:20.570 115.179 251.55280 46.13826
14712 2021-09-01T07:10:15.749 134.739 249.93629 47.71211
14864 2021-09-01T07:12:30.488 137.336 247.50000 49.28596
15012 2021-09-01T07:14:47.824 140.083 244.89796 50.85982
15154 2021-09-01T07:17:07.907 590.105 242.11269 52.43367
15674 2021-09-01T07:26:58.012 155.161 228.68852 58.72908
15792 2021-09-01T07:29:33.173 190.192 224.61539 60.30293
15903 2021-09-01T07:32:43.365 1512.997 218.91893 61.87680
15886 2021-09-01T07:57:56.362 220.1 163.78378 61.87680
15770 2021-09-01T08:01:36.462 177.994 156.92308 60.30293
15648 2021-09-01T08:04:34.456 271.331 151.96721 58.72908
15391 2021-09-01T08:09:05.787 166.501 145.90909 55.58138
15255 2021-09-01T08:11:52.288 256.622 141.89781 54.00752
14968 2021-09-01T08:16:08.910 249.136 137.14285 50.85982
14661 2021-09-01T08:20:18.046 129.822 132.99362 47.71211
14500 2021-09-01T08:22:27.868 346.351 130.80745 46.13826
13993 2021-09-01T08:28:14.219 124.912 126.20689 41.41670
13815 2021-09-01T08:30:19.131 887.838 124.38203 39.84285
